,author,comment,line,true
1268,Abi Yoga,mahalan mana sama dada ayam di pasar gan..barusan ane belanja 30rb sekilo.. kalo lebih murah ane boroong gann...,Abi Yoga: mahalan mana sama dada ayam di pasar gan..barusan ane belanja 30rb sekilo.. kalo lebih murah ane boroong gann...,1
1269,FaiZuL CHeLSea,ade kolam renang pasti enk ,FaiZuL CHeLSea: ade kolam renang pasti enk ,0
1270,Ryo Af,"udah resign aja mba inem,wis jadi bojo ku ae mba...","Ryo Af: udah resign aja mba inem,wis jadi bojo ku ae mba...",1
1271,Labazz Labazz,Sayank nya cuma gmg doank kkg di. Peraktekin sekalian ,Labazz Labazz: Sayank nya cuma gmg doank kkg di. Peraktekin sekalian ,1
1272,Iwaniwan Iwan,Sip mantap tambah lagi video seperti ini,Iwaniwan Iwan: Sip mantap tambah lagi video seperti ini,1
1273,Giga Khoirul,keliatan jarang nongol atonya ganti vebby amorra biar mantap,Giga Khoirul: keliatan jarang nongol atonya ganti vebby amorra biar mantap,0
1274,Wendy Karnevin,siapa nama model yg pake BH merah ...,Wendy Karnevin: siapa nama model yg pake BH merah ...,1
1275,BUCEK PUTRA,Nah yg ke 11...klau aq main ma kamu mbak sampai mampus gak pake CD pstnya lbh bagus heran knp asikk.. :D,BUCEK PUTRA: Nah yg ke 11...klau aq main ma kamu mbak sampai mampus gak pake CD pstnya lbh bagus heran knp asikk.. :D,0
1276,Ji Raya,Sampean njowone ngendi mbak ,Ji Raya: Sampean njowone ngendi mbak ,0
1277,rahmat hidayat,Bercinta dengan kecantuk semua,rahmat hidayat: Bercinta dengan kecantuk semua,0
1278,LDR Langitan,Enak serius ngoloco sambil liat vidionya mba mba ini jadi cpt keluar bisa 4x keluar,LDR Langitan: Enak serius ngoloco sambil liat vidionya mba mba ini jadi cpt keluar bisa 4x keluar,1
1279,imade bagas,Aku boleh daftar yang banyak juga yaaaa Kak :) ,imade bagas: Aku boleh daftar yang banyak juga yaaaa Kak :) ,0
1280,Syahron Syahron,Vidio bokep indonesia,Syahron Syahron: Vidio bokep indonesia,0
1281,Ahmad Bastian,seng foto sak kampung....,Ahmad Bastian: seng foto sak kampung....,0
1282,Fikar Fikranda,Terlanjang aja malu.. HAHAH,Fikar Fikranda: Terlanjang aja malu.. HAHAH,0
1283,santi ramerame12978,Buset itu tete enyoy banget kerja nya nengg,santi ramerame12978: Buset itu tete enyoy banget kerja nya nengg,0
1284,Ilalhamdi Baihaqi,Jual Tubuh demi Subscriber haha,Ilalhamdi Baihaqi: Jual Tubuh demi Subscriber haha,1
1285,Muha Mmad,Tolong lebih hot lg dong...,Muha Mmad: Tolong lebih hot lg dong...,1
1286,Abi Wicaksono,kayanya ke habisan ide kontent ini,Abi Wicaksono: kayanya ke habisan ide kontent ini,1
1287,Hari Adi,yang lebih hot dong gue banyak tuh om mobi,Hari Adi: yang lebih hot dong gue banyak tuh om mobi,0
1288,pas col,namen bngt konten guaiiin yg dulu lbih cantik,pas col: namen bngt konten guaiiin yg dulu lbih cantik,0
1289,achmadrosyidin 01,jangan ngajarin doang dong sassha...ayok kita praktekin sama2 mandi bareng,achmadrosyidin 01: jangan ngajarin doang dong sassha...ayok kita praktekin sama2 mandi bareng,1
1290,Singgihpratama 86,Nanti kalau menang gelarnya apaya...,Singgihpratama 86: Nanti kalau menang gelarnya apaya...,1
1291,Najwatul Karimah,kurang seru klogk dipraktekin,Najwatul Karimah: kurang seru klogk dipraktekin,0
1292,irawan syams,Inem yg beginian baru geDe.. Haha. Hay...,irawan syams: Inem yg beginian baru geDe.. Haha. Hay...,1
1293,Septianto Wawan,Main crott 2 jd sama sasha enak banget pasti ,Septianto Wawan: Main crott 2 jd sama sasha enak banget pasti ,0
1294,Rusdie Grimes,Yg baju putih nama nya firza amanda scott wk,Rusdie Grimes: Yg baju putih nama nya firza amanda scott wk,1
1295,Riko Jr Gaming,Klo peregangan anu gimana?,Riko Jr Gaming: Klo peregangan anu gimana?,1
1296,ainkaldi,Nah gtu videonya sambil wawancara jd seru . Jgn video aja,ainkaldi: Nah gtu videonya sambil wawancara jd seru . Jgn video aja,1
1297,Radith Prawira,ngakak gw. reputasi om mobi terangkum dalam kolaborasi ini..otomotif dan wanita,Radith Prawira: ngakak gw. reputasi om mobi terangkum dalam kolaborasi ini..otomotif dan wanita,1
1298,Danang Handogo,om mobi kok makin nakal ya...hahah... kalau review jangan munafik. apa lgy klo uda surga lor ,Danang Handogo: om mobi kok makin nakal ya...hahah... kalau review jangan munafik. apa lgy klo uda surga lor ,0
1299,Indo From Gamer,"Akhirnya inem make bh doang sering"" yah kyk gth","Indo From Gamer: Akhirnya inem make bh doang sering"" yah kyk gth",0
1300,saluran aer,"*kalo punya bini kaya gini, kalo belom mati jangan dikubur*","saluran aer: *kalo punya bini kaya gini, kalo belom mati jangan dikubur*",1
1301,zona merah,Meskipun mereka cara pake kondom,zona merah: Meskipun mereka cara pake kondom,0
1302,Advan Saputra,apa pesan dr cuplikan video ini berarti : membenarkan sex bebas walaupun blm menikah yang penting jaga2 pakai kondom supaya tdk hamil dan inem,Advan Saputra: apa pesan dr cuplikan video ini berarti : membenarkan sex bebas walaupun blm menikah yang penting jaga2 pakai kondom supaya tdk hamil dan inem,0
1303,Antono Dwi,Sayang banget @mutiaayu gak masuk nominasi ,Antono Dwi: Sayang banget @mutiaayu gak masuk nominasi ,1
1304,fauzi dwiantara,jurinya tegang semua tuh,fauzi dwiantara: jurinya tegang semua tuh,1
1305,Reiner Bayu Kusuma Al-Jaidi,ini aja tania love you,Reiner Bayu Kusuma Al-Jaidi: ini aja tania love you,1
1306,Sidik Hermadi,Majikannya sekilas mirip baby Margaretha . Tapi buat popular saya sarankan pakaian lebih ketat lagi dan minim . Next episode saya harap ada gerakan yg memaksa birahi saya naik. Alangkah indahnya onani dengan bayangan seperti itu,Sidik Hermadi: Majikannya sekilas mirip baby Margaretha . Tapi buat popular saya sarankan pakaian lebih ketat lagi dan minim . Next episode saya harap ada gerakan yg memaksa birahi saya naik. Alangkah indahnya onani dengan bayangan seperti itu,1
1307,Iwan Fachrudin,"Yg susu ny montok siapa nama.a,yg tduran di kasur","Iwan Fachrudin: Yg susu ny montok siapa nama.a,yg tduran di kasur",0
1308,Test Ting,Ngaceng cah cilike ih croot,Test Ting: Ngaceng cah cilike ih croot,1
1309,S. farMan,Aku suka deh dengan tips2 ka shassa,S. farMan: Aku suka deh dengan tips2 ka shassa,1
1310,Afira Adelia,"Inem ny sih oke..  Tp pakaian kurang hot, wilonna apa..?","Afira Adelia: Inem ny sih oke..  Tp pakaian kurang hot, wilonna apa..?",0
1311,Xya Vicks,"Wes ra kenceng, kendor kabeh hahahaha...","Xya Vicks: Wes ra kenceng, kendor kabeh hahahaha...",1
1312,ADI Fatwa R,Fans banget ma sasha carrisa... pengen nyubit deh wkwk,ADI Fatwa R: Fans banget ma sasha carrisa... pengen nyubit deh wkwk,1
1313,Sarah Evan,Waduh pasti mbak mbak ini memeknya na udah ledes nih ambles,Sarah Evan: Waduh pasti mbak mbak ini memeknya na udah ledes nih ambles,1
1314,Babal Abbagig,Gua fokus bokep sekalian aja nangung hhh,Babal Abbagig: Gua fokus bokep sekalian aja nangung hhh,0
1315,kartun dan anime,Udah pernah nyoba ni cewek,kartun dan anime: Udah pernah nyoba ni cewek,1
1316,Emir Adenaury,"Wah, baru tau nih. Harus segera dipraktekkan :D","Emir Adenaury: Wah, baru tau nih. Harus segera dipraktekkan :D",0
1317,Ridho Hakiki,"liburan di mana sihhh ymg, aduuuhhhhh .........","Ridho Hakiki: liburan di mana sihhh ymg, aduuuhhhhh .........",0
1318,Cahya Hardiyan Syah,"kaya betul aja namanya, masa depan uang kya bencong.. haha..","Cahya Hardiyan Syah: kaya betul aja namanya, masa depan uang kya bencong.. haha..",0
1319,Ichal Rtf,bajindul itu nya bejendol ,Ichal Rtf: bajindul itu nya bejendol ,0
1320,Adi purnama7335,"Aku mau beli 1pak, tapi saya minta di pasangin ama mbak","Adi purnama7335: Aku mau beli 1pak, tapi saya minta di pasangin ama mbak",1
1321,Anhat Sutejo,Musik latarnya lagu nya siapa min?!,Anhat Sutejo: Musik latarnya lagu nya siapa min?!,0
1322,monkey D. ace,Coba kalian tebak model mana yg udah bulunya banyak...???,monkey D. ace: Coba kalian tebak model mana yg udah bulunya banyak...???,1
1323,Sri Muhadir,"Ada temennya dong laki"" sapa tau bisa kasi tips langsung sampai 1 jam.","Sri Muhadir: Ada temennya dong laki"" sapa tau bisa kasi tips langsung sampai 1 jam.",0
1324,Efendy Ahmad,"keren bikin gue terpesona,good popular","Efendy Ahmad: keren bikin gue terpesona,good popular",0
1325,AR Gimo,Kalok video kyak gini ni.. Yg gw liat comment nya dulu.. Yg comment GG,AR Gimo: Kalok video kyak gini ni.. Yg gw liat comment nya dulu.. Yg comment GG,0
1326,Bram Soma,Jira2 shasa masih ori ndak yaaaa........,Bram Soma: Jira2 shasa masih ori ndak yaaaa........,1
1327,MATA JALAN,Ga jelas ky iklan sp**t tp di tonton jg,MATA JALAN: Ga jelas ky iklan sp**t tp di tonton jg,1
1328,John Wisewords,Mantap mbk resti tampikan detektif kelanjutanx... randy suka bnr s X GARA: Ppake pelumas dong,John Wisewords: Mantap mbk resti tampikan detektif kelanjutanx... randy suka bnr s X GARA: Ppake pelumas dong,0
1329,VipeR GAMING,Judul sound track nya apa nih?,VipeR GAMING: Judul sound track nya apa nih?,1
1330,Alan Farizi,"Makin ksini makin gk takut keliatan, itu d bwh punya anak atau gmn? Ada begitu gak saingan sama kamu  ","Alan Farizi: Makin ksini makin gk takut keliatan, itu d bwh punya anak atau gmn? Ada begitu gak saingan sama kamu  ",0
1331,m dilo,Tanggung buka semua kurang kliatan lagi :',m dilo: Tanggung buka semua kurang kliatan lagi :',0
1332,UTON,tipsnya mantep  morning glory,UTON: tipsnya mantep  morning glory,1
1333,Seno Kurniawan,orang ini pasti sukanya ngocok turuk e terus.,Seno Kurniawan: orang ini pasti sukanya ngocok turuk e terus.,0
1334,Ilham Maula,Mbak kalo mau bikin tutorial enggak usah pakai baju,Ilham Maula: Mbak kalo mau bikin tutorial enggak usah pakai baju,1
1335,hery hore,ISDA hebat bela diri juga ternyata gk kalah sm diana putri & grace iskandar harusnya di gabungin tuh tiga2 nya,hery hore: ISDA hebat bela diri juga ternyata gk kalah sm diana putri & grace iskandar harusnya di gabungin tuh tiga2 nya,0
1336,Dafy Seenthings,gw suka bngd klo shasa pake baju ini ..tambah greget,Dafy Seenthings: gw suka bngd klo shasa pake baju ini ..tambah greget,0
1337,Andyka Novianto,kami suka CILA ... eh maksudnya TURBO!,Andyka Novianto: kami suka CILA ... eh maksudnya TURBO!,1
1338,Deddy Sholeiman,"kalau dosen macam ne, maka tumpah dimana mana.","Deddy Sholeiman: kalau dosen macam ne, maka tumpah dimana mana.",1
1339,Dede TV,enaknya jadi orang berduit,Dede TV: enaknya jadi orang berduit,0
1340,Eric Reinaldo,kangen lavenia orng nih di tips malam jum'at. ,Eric Reinaldo: kangen lavenia orng nih di tips malam jum'at. ,0
1341,Sandrika Abdullah,"Gak ada sabun...  Pakai ludah pun jadi buat coli  ,,,  cuueehh cuueehhh amazing","Sandrika Abdullah: Gak ada sabun...  Pakai ludah pun jadi buat coli  ,,,  cuueehh cuueehhh amazing",1
1342,MEILIN_ LOVERSCREMOo,Yg komen ngeres semua,MEILIN_ LOVERSCREMOo: Yg komen ngeres semua,1
1343,Rahmat Akbar,shabilla kok ga ada ya di video yg promote satu2?,Rahmat Akbar: shabilla kok ga ada ya di video yg promote satu2?,1
1344,Den Kenthos,Bguss ni pnya y inem....,Den Kenthos: Bguss ni pnya y inem....,1
1345,array s,Gw jd inget pnya dosen yg cantik & sexy kya gini juga. Satu2 nya kelas yg gak pernah gw tinggalkan ,array s: Gw jd inget pnya dosen yg cantik & sexy kya gini juga. Satu2 nya kelas yg gak pernah gw tinggalkan ,0
1346,No PI,Yang komenta sok cewe cantik dicoba tuh buat saxxx.,No PI: Yang komenta sok cewe cantik dicoba tuh buat saxxx.,0
1347,Dedi Kusnandar,cb gue ya yg mijit tuh cewe pasti cewenya minta oh yes oh no,Dedi Kusnandar: cb gue ya yg mijit tuh cewe pasti cewenya minta oh yes oh no,1
1348,Dangdut Heboh,Surga dunia lagi maen ke Surga,Dangdut Heboh: Surga dunia lagi maen ke Surga,1
1349,Yusuf Sidik,siapa cowo yg mau ama lu aurat nyah aja di pamer pamerin,Yusuf Sidik: siapa cowo yg mau ama lu aurat nyah aja di pamer pamerin,1
1350,Sinal Duro,hanya demi materi serba terbuka,Sinal Duro: hanya demi materi serba terbuka,1
1351,harys sikumbang,@Dirgan Capoeira hahaha oke kalo gitu tp ntar kalo jadi dirgan ada di jakarta dong. hehehe eh ini dirgan juara jtc1 kan btw?,harys sikumbang: @Dirgan Capoeira hahaha oke kalo gitu tp ntar kalo jadi dirgan ada di jakarta dong. hehehe eh ini dirgan juara jtc1 kan btw?,1
1352,dewi mimpi,Neraka itu panas sumpah.. allah gk bohong,dewi mimpi: Neraka itu panas sumpah.. allah gk bohong,0
1353,Bang Diaz,"inem""di mna rumah' lu nem tar sy lamar lu nem udah gk tahan shasha telanjang hehehee","Bang Diaz: inem""di mna rumah' lu nem tar sy lamar lu nem udah gk tahan shasha telanjang hehehee",0
1354,Hillel Dzaky,Desahannya Mantap Gituin aku dong,Hillel Dzaky: Desahannya Mantap Gituin aku dong,0
1355,alex santos,cara bikin cewe squirting gimna lo kalo ngga nih shasa,alex santos: cara bikin cewe squirting gimna lo kalo ngga nih shasa,0
1356,irsyad amrulah,oooh inem kaya gw terangi..  Ataukah gak pinjam siapa min?,irsyad amrulah: oooh inem kaya gw terangi..  Ataukah gak pinjam siapa min?,0
1357,Bilal Idbi,Boleh test drive ga? :v,Bilal Idbi: Boleh test drive ga? :v,1
1358,Bang kotan,iya daah atur aja Mejati  ,Bang kotan: iya daah atur aja Mejati  ,0
1359,Joni Joniansyah,Aku gak sempat liat wajah nya..terllu FOKUS di cangkolan paret,Joni Joniansyah: Aku gak sempat liat wajah nya..terllu FOKUS di cangkolan paret,0
1360,Bintang 123,cewek cantik laki yu mau engga,Bintang 123: cewek cantik laki yu mau engga,1
1361,putera pandu,"Follow aja ke rumah aa' min , pasti terkenal , terkenal jadi Nyonya Gege buat pilih ya ","putera pandu: Follow aja ke rumah aa' min , pasti terkenal , terkenal jadi Nyonya Gege buat pilih ya ",0
1362,Gbl Rully,selamat datang di negri porno,Gbl Rully: selamat datang di negri porno,1
1363,Raihan Arya Kusuma,Nice!! semua video grace iskandar lanjutkann,Raihan Arya Kusuma: Nice!! semua video grace iskandar lanjutkann,1
1364,Arfabian Risandi,"Sange gue,,,menurut kalian pembawa acaranya pake bh  gak","Arfabian Risandi: Sange gue,,,menurut kalian pembawa acaranya pake bh  gak",0
1365,Salman Yanto,toketmu seksi aku juga ingat kebawah dong.. wkwkwkw,Salman Yanto: toketmu seksi aku juga ingat kebawah dong.. wkwkwkw,0
1366,dierjohn red,indonesian girl with bikini,dierjohn red: indonesian girl with bikini,1
1367,Hend Puji,"Seharusnya di praktekin, maksudnya apa seh mbak,yg pura""'gak tahu ikuti saya ya menghayar outfit.......","Hend Puji: Seharusnya di praktekin, maksudnya apa seh mbak,yg pura""'gak tahu ikuti saya ya menghayar outfit.......",0
1368,Shobah Kecil0408,kak sassha udah pernah gituan ya? ydah gpp kok. aku juga mau kak sassha mainin. hehe kok jadi baper ya. andai kak sassha di sini. emm maaf saya baru 18tahun kak. aku sayang kakak,Shobah Kecil0408: kak sassha udah pernah gituan ya? ydah gpp kok. aku juga mau kak sassha mainin. hehe kok jadi baper ya. andai kak sassha di sini. emm maaf saya baru 18tahun kak. aku sayang kakak,1
1369,Ekha Soraya,emang ada ya aslinya mah ambing. Jangan diet udah montok...,Ekha Soraya: emang ada ya aslinya mah ambing. Jangan diet udah montok...,0
1370,ardhi ynwa,Ga bisa fokus sama materinya.  Fix gue ga lulus nih :((,ardhi ynwa: Ga bisa fokus sama materinya.  Fix gue ga lulus nih :((,1
1371,Nagil nagilang,Mantapppp...susune boleh dimimik inem,Nagil nagilang: Mantapppp...susune boleh dimimik inem,1
1372,Revo Society,presenternya ga ad yang lebih hot?,Revo Society: presenternya ga ad yang lebih hot?,1
1373,Sandrika Abdullah,Rasain luh berdua......  Bwat bahan colai w,Sandrika Abdullah: Rasain luh berdua......  Bwat bahan colai w,0
1374,mau lister,Urat malunya di temenin sm diana putri tambah nyenyak tidurnya :),mau lister: Urat malunya di temenin sm diana putri tambah nyenyak tidurnya :),0
1375,Andi Panyudara,"terlalu over tu pakaianya, bocah kuliah terus dehh uhhhh ahahhaha","Andi Panyudara: terlalu over tu pakaianya, bocah kuliah terus dehh uhhhh ahahhaha",0
1376,Ajay Khan,Saturuangan bau jemur terasi,Ajay Khan: Saturuangan bau jemur terasi,1
1377,Nando AQuellanoZero,Kok rumak lucu.. lebih mantep nih :p ,Nando AQuellanoZero: Kok rumak lucu.. lebih mantep nih :p ,0
1378,maulana pratito,I love you cherry you like goddes,maulana pratito: I love you cherry you like goddes,1
1379,Interisti Indonesia,cewe muna di colek kena gampar padahal  mancing sendiri sampahhhh.,Interisti Indonesia: cewe muna di colek kena gampar padahal  mancing sendiri sampahhhh.,1
1380,Dede Amarudin,Mana ada cewek gitu perawan yang UDAH RINGSEK KALO ACAK ADUT GA KARUAN,Dede Amarudin: Mana ada cewek gitu perawan yang UDAH RINGSEK KALO ACAK ADUT GA KARUAN,1
1381,Indra Basit,Audisi monyettttttttttt ingat ajal menjemputmu,Indra Basit: Audisi monyettttttttttt ingat ajal menjemputmu,1
1382,Fahrul Fahrul,Weleh weleh .. haha ha.!,Fahrul Fahrul: Weleh weleh .. haha ha.!,1
1383,Otong News,Mau dong dong d pakein konsom nya sama inem,Otong News: Mau dong dong d pakein konsom nya sama inem,0
1384,Kang JEJE,ah palingan taik nya juga bau lah ,Kang JEJE: ah palingan taik nya juga bau lah ,0
1385,arti nama,Penyebab sabun kamar mandi cepat habis  ya begini ini ga di liat gmana di liat gmana,arti nama: Penyebab sabun kamar mandi cepat habis  ya begini ini ga di liat gmana di liat gmana,1
1386,Adam Cohen,"warna bh inem yang baru bagus, suka deh ","Adam Cohen: warna bh inem yang baru bagus, suka deh ",1
1387,Mugin putra,Bosan keren kak.. :-) ,Mugin putra: Bosan keren kak.. :-) ,0
1388,Asep Nurhadi,Tania ayu gede bngt sih... ,Asep Nurhadi: Tania ayu gede bngt sih... ,0
1389,leo putra,inem sini mandi bareng rambute musik goblok mah pelatihnya haha,leo putra: inem sini mandi bareng rambute musik goblok mah pelatihnya haha,0
1390,Prayoga Prastyo,Itu biasa toketnya cuma bhnya aj kekecilan,Prayoga Prastyo: Itu biasa toketnya cuma bhnya aj kekecilan,1
1391,Otong News,Bantu padamin lampu rumah dong guisss. Autttomatik padam kembali.. ty,Otong News: Bantu padamin lampu rumah dong guisss. Autttomatik padam kembali.. ty,0
1392,Abie Aryatama,Emg enak yah basah2an?,Abie Aryatama: Emg enak yah basah2an?,0
1393,Komang Bagus,"Kalo kyak gini terus mah, ada yg tau salah tulis angkanya.","Komang Bagus: Kalo kyak gini terus mah, ada yg tau salah tulis angkanya.",0
1394,Maulana Lana,Klo gw majikannya gw yg pusing sih ini ,Maulana Lana: Klo gw majikannya gw yg pusing sih ini ,0
1395,Muhammad Samin,Tes sama kamu aja Mbak,Muhammad Samin: Tes sama kamu aja Mbak,1
1396,Taan Dika,harusnya kasi liat langsung biar malem lumayan sexy ,Taan Dika: harusnya kasi liat langsung biar malem lumayan sexy ,0
1397,ga ashing,hahahah.. klo gni cwek sama sassha skr ng kok enak ga pake kondom lebih ngeliat rasanya.....mau coba rudal gw.....????,ga ashing: hahahah.. klo gni cwek sama sassha skr ng kok enak ga pake kondom lebih ngeliat rasanya.....mau coba rudal gw.....????,0
1398,Reni Anggra,ini lah video kebanggaan bangsa :v,Reni Anggra: ini lah video kebanggaan bangsa :v,0
1399,Sakila Ica,hajarr om STNK (Sudah Tua Nakal Kembali),Sakila Ica: hajarr om STNK (Sudah Tua Nakal Kembali),1
1400,vlog no limit,Selalu hadir membawa like kak like ke3 komen ke1,vlog no limit: Selalu hadir membawa like kak like ke3 komen ke1,1
1401,Haqi Ahmad Z.E.D 29,Minta nyusu aj klo pelayan kyk mu nem,Haqi Ahmad Z.E.D 29: Minta nyusu aj klo pelayan kyk mu nem,0
1402,sally yusida,mbak sasha jualan kondom ya?,sally yusida: mbak sasha jualan kondom ya?,0
1403,Aput Kay,Gak hoooooooooooot nya anak inem...,Aput Kay: Gak hoooooooooooot nya anak inem...,0
1404,CON NHI KHUC - ARNIS - NUNCHAKU - BALISONG,Your nunchaku club is Famous!,CON NHI KHUC - ARNIS - NUNCHAKU - BALISONG: Your nunchaku club is Famous!,0
1405,Nanang Kurniawan,buset bgttttttttttt sblminatir?,Nanang Kurniawan: buset bgttttttttttt sblminatir?,0
1406,dadi byk,Sering sering bikin content kaya ginilah.. I AM POPULAR !!,dadi byk: Sering sering bikin content kaya ginilah.. I AM POPULAR !!,0
1407,Andi Tarigan,aku kira kondom itu paymentnya.,Andi Tarigan: aku kira kondom itu paymentnya.,0
1408,Eben Parningotan Manihuruk,bju ny kurang transparan,Eben Parningotan Manihuruk: bju ny kurang transparan,1
1409,Andro False,"Lha, it's matter, if you had a bomb salah fokus deh......","Andro False: Lha, it's matter, if you had a bomb salah fokus deh......",0
1410,edi SupartaGibir,Kok berapa tu yg nonton :) :D,edi SupartaGibir: Kok berapa tu yg nonton :) :D,0
1411,delay gaming,Kak Sasha dah punya suami blom,delay gaming: Kak Sasha dah punya suami blom,1
1412,Marasi Leonardus,Shasha Carissa donk yg di banyakin tampil,Marasi Leonardus: Shasha Carissa donk yg di banyakin tampil,1
1413,Trias Novandi,"Hadeh yg koment pd sok alim,,, kaya hidupnya udah bener aja.....muka hauss sexxx","Trias Novandi: Hadeh yg koment pd sok alim,,, kaya hidupnya udah bener aja.....muka hauss sexxx",0
1414,Irsyad Amk,Yaah pake penutup pntil,Irsyad Amk: Yaah pake penutup pntil,0
1415,cantika suka,Seks dukunnya cewek murahan dan gampang banget..... biar kencan abis itu ngantukan untuk popular magazine very nicee juara nya ini,cantika suka: Seks dukunnya cewek murahan dan gampang banget..... biar kencan abis itu ngantukan untuk popular magazine very nicee juara nya ini,0
1416,Rha Mamedth,"Sasha sbner y TORAT, bisa jd TOGE karna kbantu braa y nih hehe","Rha Mamedth: Sasha sbner y TORAT, bisa jd TOGE karna kbantu braa y nih hehe",1
1417,Arie Afriyanto,"Kalo ga pada doyan liat beginian ya udah di filter aja x ya mas"" nya YouTube nya ...   comment nya .. ngerriii ..  wanita ini lah wanita itu lah ... ga ber'faedah lah .. lah lu masih aja nonton sampe abis ...","Arie Afriyanto: Kalo ga pada doyan liat beginian ya udah di filter aja x ya mas"" nya YouTube nya ...   comment nya .. ngerriii ..  wanita ini lah wanita itu lah ... ga ber'faedah lah .. lah lu masih aja nonton sampe abis ...",1
1418,zanki janki,apa cuma gw dsini yg masturbasi smabil nontonin ni video?? wkwk,zanki janki: apa cuma gw dsini yg masturbasi smabil nontonin ni video?? wkwk,0
1419,al abror,Kalau ada pembantu kek gini maulah aku.. 2x lipat pun gajinya gapapa.. serius ini.. dm aja ya,al abror: Kalau ada pembantu kek gini maulah aku.. 2x lipat pun gajinya gapapa.. serius ini.. dm aja ya,1
1420,finsen pamungkas,Mau minta gaji berapapun tinggal minta kalo seperti ini mah asisten rumah tangga nya..,finsen pamungkas: Mau minta gaji berapapun tinggal minta kalo seperti ini mah asisten rumah tangga nya..,1
1421,Ahmad Hajir,Ajang bara api neraka,Ahmad Hajir: Ajang bara api neraka,1
1422,Saputra &ita,Bang dong caranya biar foreaplay..,Saputra &ita: Bang dong caranya biar foreaplay..,0
1423,Yuda Raditya,Grace iskandar tu apanya Jessica iskandar iya ,Yuda Raditya: Grace iskandar tu apanya Jessica iskandar iya ,0
1424,an droid,sassha bkin gue coli nih,an droid: sassha bkin gue coli nih,0
1425,dayatmh,Nem aku buka puasa liat videomu,dayatmh: Nem aku buka puasa liat videomu,1
1426,Yugie Virgiawan,gerakan nya gak papa jadul juga yg penting hot nya ,Yugie Virgiawan: gerakan nya gak papa jadul juga yg penting hot nya ,1
1427,Muhammad Al Husin,"Dan ini model, kami suka model","Muhammad Al Husin: Dan ini model, kami suka model",1
1428,Muhammad Syafiq Zulkifli,Buka lah Dada nya lihat sikit,Muhammad Syafiq Zulkifli: Buka lah Dada nya lihat sikit,0
1429,108 shdu,Bkin org angeee wooiii,108 shdu: Bkin org angeee wooiii,1
1430,tinggap utk ada anda boga tak manusia yg tukang coli cabang ora kucin,inggap utk ada anda boga tak manusia yg tukang coli cabang ora kucing,tinggap utk ada anda boga tak manusia yg tukang coli cabang ora kucing,0
1431,rudi rianto,Yg fotoin pasti awkward dah,rudi rianto: Yg fotoin pasti awkward dah,1
1432,Rio Wahyu,yg gk ngaceng gk normal,Rio Wahyu: yg gk ngaceng gk normal,0
1433,Sweety Duck,Nonton ini auto ngaceng rasanya ingin sekamar bareng para cwe kaya dia :v,Sweety Duck: Nonton ini auto ngaceng rasanya ingin sekamar bareng para cwe kaya dia :v,0
1434,deny Jadul,"Rapopo nem, kenyot, pentil nya keliatan.","deny Jadul: Rapopo nem, kenyot, pentil nya keliatan.",0
1435,Khairul Chandra,aku suka banget sama lakonan Tania Ayu,Khairul Chandra: aku suka banget sama lakonan Tania Ayu,0
1436,misterixxxfiles2,popular magazine bikin versi pdfnya dong biar gk buang buang kertas,misterixxxfiles2: popular magazine bikin versi pdfnya dong biar gk buang buang kertas,1
1437,dhik thea,pricyla ternyata gk kalah sm diana putri & grace iskandar harusnya di gabungin tuh tiga2 nya,dhik thea: pricyla ternyata gk kalah sm diana putri & grace iskandar harusnya di gabungin tuh tiga2 nya,1
1438,Jack lanton,INI SIAPA YANG TANGGUNG JAWAB MILIH MUSIH KAYA ya dan jangan lupa nonton full versionnya di Popular Now plus juga join sebagai GOLD Member di Popular Now https://www.Popular-World.com/CRooT biar makin puas dan dapat untung berupa batangan emas! OKE ,Jack lanton: INI SIAPA YANG TANGGUNG JAWAB MILIH MUSIH KAYA ya dan jangan lupa nonton full versionnya di Popular Now plus juga join sebagai GOLD Member di Popular Now https://www.Popular-World.com/CRooT biar makin puas dan dapat untung berupa batangan emas! OKE ,0
1439,Raden Mulyadi,"jangan meling satu engga pake   dong boss ,aber popular ,, tapi sayang cuk","Raden Mulyadi: jangan meling satu engga pake   dong boss ,aber popular ,, tapi sayang cuk",0
1440,Atika Safitri,Tangan kaka di tato ya,Atika Safitri: Tangan kaka di tato ya,1
1441,tanamoisme,Pantatnya item kayak pantat gw haha...,tanamoisme: Pantatnya item kayak pantat gw haha...,1
1442,Ekko Setiawan,Konsentrasi ku langsung buyar...,Ekko Setiawan: Konsentrasi ku langsung buyar...,1
1443,bang bean,Njir gembyor2 geto nambah dosa mata grafed ....,bang bean: Njir gembyor2 geto nambah dosa mata grafed ....,0
1444,Jhony paijo,"Pinter,cerdas,tp jg BODOH knp gk upload aja full versinya di yutub, toh lebih mudahan dilihat terus ngak bau asem tuh ,","Jhony paijo: Pinter,cerdas,tp jg BODOH knp gk upload aja full versinya di yutub, toh lebih mudahan dilihat terus ngak bau asem tuh ,",0
1445,Rasya Diva,Saya doakan biar cepat mampus,Rasya Diva: Saya doakan biar cepat mampus,1
1446,Yudha Fajar Qornain,@popularmagazine si @sassha kok bisa gede gitu ya hehe,Yudha Fajar Qornain: @popularmagazine si @sassha kok bisa gede gitu ya hehe,0
