,author,comment,line,true
412,MsOctora,Indonesia memiliki banyak pulau yang belum berpenghuni kalau pemerintah bisa menampung warga rohingya disana dan membiarkan mereka bekerja dan bercocok tanam itu akan sangat membantu sekali.. saya kasihan lihat warga rohingya di zolimi seperti ini..,MsOctora: Indonesia memiliki banyak pulau yang belum berpenghuni kalau pemerintah bisa menampung warga rohingya disana dan membiarkan mereka bekerja dan bercocok tanam itu akan sangat membantu sekali.. saya kasihan lihat warga rohingya di zolimi seperti ini..,1
413,ariel sharon,"nah klo masuk kuliah yg masuk akademi ini nih;,...bukan yg d jkt utra yg nmanya s**p ;..itumah apaan (skolah tp d asramanya jd tukang pijit snior,smirin spatunya,ambilin mkannya,cuciin bjunya dll)dah lulusmah ;,..cari gawe susahh..","ariel sharon: nah klo masuk kuliah yg masuk akademi ini nih;,...bukan yg d jkt utra yg nmanya s**p ;..itumah apaan (skolah tp d asramanya jd tukang pijit snior,smirin spatunya,ambilin mkannya,cuciin bjunya dll)dah lulusmah ;,..cari gawe susahh..",1
414,Samp Agus,Kucing bakau jenis panther berburu pd malam hari maka yg biasanya malam hari d area situ entah memancing atau apapun lbh baik jgn matikan senter atau terus nyalakan penerangan yg d bawa....karena jenis panther kalo malam berubah menjadi predator ganas...,Samp Agus: Kucing bakau jenis panther berburu pd malam hari maka yg biasanya malam hari d area situ entah memancing atau apapun lbh baik jgn matikan senter atau terus nyalakan penerangan yg d bawa....karena jenis panther kalo malam berubah menjadi predator ganas...,1
415,Din Fata,"Orang myanmar rohingya ,keturunan bangla ,memang kita simpati ,tapi bagaimana mau nolong wong rakyat indonesia sendiri banyak yg kismis alias kere..adoiii pusinggggg.....","Din Fata: Orang myanmar rohingya ,keturunan bangla ,memang kita simpati ,tapi bagaimana mau nolong wong rakyat indonesia sendiri banyak yg kismis alias kere..adoiii pusinggggg.....",1
416,CLOUDS,"Kalau segala sesuatu anda nilai dari materi? Kalau mencoba orang yang merintis usaha dari nol anda hina, lalu apa makna motivasi anda selama ini kepada para calon pengusaha muda yang merintis usaha dari nol?","CLOUDS: Kalau segala sesuatu anda nilai dari materi? Kalau mencoba orang yang merintis usaha dari nol anda hina, lalu apa makna motivasi anda selama ini kepada para calon pengusaha muda yang merintis usaha dari nol?",1
417,ulla maroni,Aku sangat latihan tdak seluruhnya..biar tahu apa2...GBU,ulla maroni: Aku sangat latihan tdak seluruhnya..biar tahu apa2...GBU,0
418,duriyan manis,Marhaban ya ramadan bp yg baik hati ,duriyan manis: Marhaban ya ramadan bp yg baik hati ,1
419,Meutia Saputri,Maasyaa Allah pak.  Ingat kali saya kata2nya.  Tdk takut miskin memberi makan orang lain.  Semoga kita bisa jadi salah satunya seperti bapak ini.,Meutia Saputri: Maasyaa Allah pak.  Ingat kali saya kata2nya.  Tdk takut miskin memberi makan orang lain.  Semoga kita bisa jadi salah satunya seperti bapak ini.,1
420,chandraryu1,Ekspresinya dapet.... bagus baguuss.... sekarang orang sedih... camera... rolling... actioonnn...,chandraryu1: Ekspresinya dapet.... bagus baguuss.... sekarang orang sedih... camera... rolling... actioonnn...,1
421,Yaya Wintaf Siagian,Daerah bandeng mati?!?dmna ini?,Yaya Wintaf Siagian: Daerah bandeng mati?!?dmna ini?,1
422,User Smart,hahaa tidak semuanya manusia itu bisa pak biye anggap baik ada juga yg selama ini byk kebongkar koborokannyaaaaaaaaaaaa pak biye kok gitu sih udah...... ,User Smart: hahaa tidak semuanya manusia itu bisa pak biye anggap baik ada juga yg selama ini byk kebongkar koborokannyaaaaaaaaaaaa pak biye kok gitu sih udah...... ,1
423,Candra Napitz,Ngantu gw klo MT ngomong.!!!!!!!!,Candra Napitz: Ngantu gw klo MT ngomong.!!!!!!!!,1
424,Subekti Wks,Bindo aja gak becus mau nyari makan sendiri sih habisi..baru lempar parlemen yg lain kali kale..siapa yg benar dulu,Subekti Wks: Bindo aja gak becus mau nyari makan sendiri sih habisi..baru lempar parlemen yg lain kali kale..siapa yg benar dulu,0
425,Fajri Rafa,tak tahu balasan karena orang Yang bikin peraturan hukum di indonesia. Bahkan hanya 1 orang yg memerdekakan psi amin ,Fajri Rafa: tak tahu balasan karena orang Yang bikin peraturan hukum di indonesia. Bahkan hanya 1 orang yg memerdekakan psi amin ,0
426,Septian Right9201,"Itu kan beliau kota kelihatan karena militer Indonesia terlalu Baik Untuk Sampai Pancasila sebagai Fitrah kelas yang juga bisa dipilih jadi presiden, sby rela masuk ke goa ..","Septian Right9201: Itu kan beliau kota kelihatan karena militer Indonesia terlalu Baik Untuk Sampai Pancasila sebagai Fitrah kelas yang juga bisa dipilih jadi presiden, sby rela masuk ke goa ..",0
427,NARI NILAH SAJA SYARAT##*###########__#,ARI NILAH SAJA SYARAT##*###########__##,NARI NILAH SAJA SYARAT##*###########__##,0
428,Chuwy Ahmad,"Orang2 PNS bagian ini, biasa kalo gak disuguhi  dan rokok  emang lambat, itu udah rahasia umum","Chuwy Ahmad: Orang2 PNS bagian ini, biasa kalo gak disuguhi  dan rokok  emang lambat, itu udah rahasia umum",1
429,Muhammad Alfarisi,zack king juga kota ampy timuras dlm sygnya,Muhammad Alfarisi: zack king juga kota ampy timuras dlm sygnya,0
430,Hangger Gruedra Pratama,seperti cari berfikir positif dan presiden indonesia,Hangger Gruedra Pratama: seperti cari berfikir positif dan presiden indonesia,0
431,Riany Ria,dimas adipati anis wkwkwkwkwkwk wkwkwk ,Riany Ria: dimas adipati anis wkwkwkwkwkwk wkwkwk ,0
432,Putri Sartika,"udah kedua kalinya w ketipu ama lagu2nya dipha barus, w kira lagu barat","Putri Sartika: udah kedua kalinya w ketipu ama lagu2nya dipha barus, w kira lagu barat",1
433,lf mlyty,"msak nyungseu pagi mbak, hidunnya bareng keluarga yg menjadi korban tu warganya murah tak bejad...jangan perlu kehidupan  di balas  iya","lf mlyty: msak nyungseu pagi mbak, hidunnya bareng keluarga yg menjadi korban tu warganya murah tak bejad...jangan perlu kehidupan  di balas  iya",0
434,Dharma Putra,"Sya Penci, sdh menyebabkan Ya Allah semoga Allah membalas kebaikan anda...","Dharma Putra: Sya Penci, sdh menyebabkan Ya Allah semoga Allah membalas kebaikan anda...",0
435,Nona Serline,Luar biasa. Tetap mengampuni dan memaafkan karena itu yang TUHAN YESUS ajarkan ,Nona Serline: Luar biasa. Tetap mengampuni dan memaafkan karena itu yang TUHAN YESUS ajarkan ,1
436,Omni Arms,Terorisme yg disebabkan pemikiran radikalisme. ,Omni Arms: Terorisme yg disebabkan pemikiran radikalisme. ,1
437,Iflakhatul  Rizal,ngomongnya  kebanyakan ribut 213 suka gelonif malah kembali 3 anies (walpun contoh ISIS) bisa aksi bersedekah.,Iflakhatul  Rizal: ngomongnya  kebanyakan ribut 213 suka gelonif malah kembali 3 anies (walpun contoh ISIS) bisa aksi bersedekah.,0
438,DG plex,Ditembak dispurnakan ditempat saja pak dari pada merepotkan dan membahayakan bangsa ini . kita iklaaaaaaaaaaaaaaas bangeeeet pak dan mendukung langkah polisi dan jajarannya,DG plex: Ditembak dispurnakan ditempat saja pak dari pada merepotkan dan membahayakan bangsa ini . kita iklaaaaaaaaaaaaaaas bangeeeet pak dan mendukung langkah polisi dan jajarannya,1
439,Eka Agustina,"itu makanya jgn suka ngasih pengemis di pinggir jalan, lbh baik bidik orng yg bnar2 g mampu dan lindungi ank2 yatim piatu,,lebih bermanfaat","Eka Agustina: itu makanya jgn suka ngasih pengemis di pinggir jalan, lbh baik bidik orng yg bnar2 g mampu dan lindungi ank2 yatim piatu,,lebih bermanfaat",1
440,Feby Anto,dasar penjilat jilat tuh pantat lu sendiri...,Feby Anto: dasar penjilat jilat tuh pantat lu sendiri...,1
441,Ridhomu Allah P,Masyarakat yg menang pun harus berharap langkahnya.,Ridhomu Allah P: Masyarakat yg menang pun harus berharap langkahnya.,0
442,Mariyatun Binti,Aku orang jawa timur ucapkan Selamat pak ganjar smg menjadi pemimpin yg lbh baik lg ...,Mariyatun Binti: Aku orang jawa timur ucapkan Selamat pak ganjar smg menjadi pemimpin yg lbh baik lg ...,1
443,Momo Wijaya,menurt saya kesalhan'ya ada di ibunya....,Momo Wijaya: menurt saya kesalhan'ya ada di ibunya....,1
444,adi nugraha,Masya Allah kang emil menang amiin,adi nugraha: Masya Allah kang emil menang amiin,0
445,kuai king oym.,Masyaallah  semoga bapak ini selalu dalam lindungan Alloh swt,kuai king oym.: Masyaallah  semoga bapak ini selalu dalam lindungan Alloh swt,0
446,Jhon Truly,Waaan abud ka banteng bngt sam daging nyawa orang malaysia biar adiosih macam pak,Jhon Truly: Waaan abud ka banteng bngt sam daging nyawa orang malaysia biar adiosih macam pak,0
447,Chaniago Abd,"orang Indonesia belum dewasa pikirannya, semua yang kita temui ini manusia bro, baik itu motivator, ulama, pemimpin dll, ga ada orang yang sempurna, tapi ingat kekurangan dan kelebihan itu adalah bagian yang melengkapi kita sebagai manusia, jangan sampe karna seseorang selama ini yang disorot kebaikannya tiba - tba kita tau kekurangannya kita bilang munafik, mungkin dia salah, tapi kesalahan dia ga membuat nasihat2 dan kebaikan2 dia jadi invalid. kasus ini ngingetin saya sama Aa gym dulu, kehidupan dan kekurangan orang kita hakimi di depan umum padahal kita ga tau sama sekali permasalahan pribadi orang, ingat kita harus stay positif dan berbaik sangka","Chaniago Abd: orang Indonesia belum dewasa pikirannya, semua yang kita temui ini manusia bro, baik itu motivator, ulama, pemimpin dll, ga ada orang yang sempurna, tapi ingat kekurangan dan kelebihan itu adalah bagian yang melengkapi kita sebagai manusia, jangan sampe karna seseorang selama ini yang disorot kebaikannya tiba - tba kita tau kekurangannya kita bilang munafik, mungkin dia salah, tapi kesalahan dia ga membuat nasihat2 dan kebaikan2 dia jadi invalid. kasus ini ngingetin saya sama Aa gym dulu, kehidupan dan kekurangan orang kita hakimi di depan umum padahal kita ga tau sama sekali permasalahan pribadi orang, ingat kita harus stay positif dan berbaik sangka",1
448,Amelia Lim,Liatt tanggannya wessssssss udh bulatttt wkwkkk,Amelia Lim: Liatt tanggannya wessssssss udh bulatttt wkwkkk,1
449,ulla marong,"jujur luh botak, jdi pembantaian eh udh om mario teguh","ulla marong: jujur luh botak, jdi pembantaian eh udh om mario teguh",0
450,Ahmad Hunaifi,Kalau ada yang berani merugi. Mau kmana aja yg sopan dan pulang indon tuh brp coy jangan tr pengadilan bicara'm harus ditegaskan. jangan lagi kita sukseskan ya buat makan hidup dibalik lgi ke indonesia. klau kmu lolos utk mendapat pemrikatan negara untuk costunos,Ahmad Hunaifi: Kalau ada yang berani merugi. Mau kmana aja yg sopan dan pulang indon tuh brp coy jangan tr pengadilan bicara'm harus ditegaskan. jangan lagi kita sukseskan ya buat makan hidup dibalik lgi ke indonesia. klau kmu lolos utk mendapat pemrikatan negara untuk costunos,0
451,lili lauren,haduuh istris ya yg mendukung warganya  bukan perkataan nya... wkwk ,lili lauren: haduuh istris ya yg mendukung warganya  bukan perkataan nya... wkwk ,0
452,Elang Syahputra,nyalon RT aj gk jadi mlah nyalon presiden,Elang Syahputra: nyalon RT aj gk jadi mlah nyalon presiden,1
453,VJ Bright,"Yang hebat selalu dikaitkan sama messi,  kenapa gak cekdo?  Jelas gak!","VJ Bright: Yang hebat selalu dikaitkan sama messi,  kenapa gak cekdo?  Jelas gak!",1
454,Navaro Nur Chennotta,Si jendral nya berani nma clurit...,Navaro Nur Chennotta: Si jendral nya berani nma clurit...,0
455,Om telolet Om,"RIP,  orang yang menghujat bapak bisa di percaya ok","Om telolet Om: RIP,  orang yang menghujat bapak bisa di percaya ok",0
456,Tutu Kereu,hamba sex.....uda cuma bisa lihat 2 thn dbiarkan saja..makadem itu org.,Tutu Kereu: hamba sex.....uda cuma bisa lihat 2 thn dbiarkan saja..makadem itu org.,0
457,imam mulyadi,terus ... ham ..para korban yang tewas oleh para teroris gimana .....,imam mulyadi: terus ... ham ..para korban yang tewas oleh para teroris gimana .....,1
458,Yeni Sriwelasanti,Q salut kpda ibu risma semoga seht selalu,Yeni Sriwelasanti: Q salut kpda ibu risma semoga seht selalu,1
459,Akhmad Zakie,"Bukan mahasiswa kali,,manasiswa itu,,,","Akhmad Zakie: Bukan mahasiswa kali,,manasiswa itu,,,",1
460,Tono Marto,emang harus adail tak pandang bulu baik itu aparat atau rakyat,Tono Marto: emang harus adail tak pandang bulu baik itu aparat atau rakyat,1
461,Ervin Widya,"Hebat bpk polisi,itu acungan jempol.harus tegas,melawan harus ditembak ham udh th teroris itu sifatny kyk binatang.","Ervin Widya: Hebat bpk polisi,itu acungan jempol.harus tegas,melawan harus ditembak ham udh th teroris itu sifatny kyk binatang.",1
462,Panji Putra,Anak karepeen cepat loncat. Kl gtu pembangunan mo. Ahli atau laksanan bragainalitas sesolo... trnyata cuma halus ... wkwkw,Panji Putra: Anak karepeen cepat loncat. Kl gtu pembangunan mo. Ahli atau laksanan bragainalitas sesolo... trnyata cuma halus ... wkwkw,0
463,Siyanto Mangkualam,CAGUP.... DAUR ULANG GAK LAKU. ,Siyanto Mangkualam: CAGUP.... DAUR ULANG GAK LAKU. ,1
464,Agung cesling,"Setiap org berhak menyampaikan ke inginannya,saran saya klw egk suka dgn keinginan mereka ya egk ush d pilih,,jgn terlalu meremehkan org lain,,sekedar masukan aj kawan","Agung cesling: Setiap org berhak menyampaikan ke inginannya,saran saya klw egk suka dgn keinginan mereka ya egk ush d pilih,,jgn terlalu meremehkan org lain,,sekedar masukan aj kawan",1
465,3yani Yani,"Salut atas kebesaran hati keluarga mas Kurniawan, kita bersaudara","3yani Yani: Salut atas kebesaran hati keluarga mas Kurniawan, kita bersaudara",1
466,ILC GARUT,"sukses selalu pak, amal mu menjadi surgamu ..... amin","ILC GARUT: sukses selalu pak, amal mu menjadi surgamu ..... amin",1
467,Itonging Sartanto,"terus aja bisa liat org yg tua yg gila dunia bukan karna ank ht di hukum yg sbnrny indri kita wktu psi gk ad jgn diberi ampun.  Jgn di simpen duit buat sedekah ke bpak mulu. uang ya seperti menginta jabar kang,, amin","Itonging Sartanto: terus aja bisa liat org yg tua yg gila dunia bukan karna ank ht di hukum yg sbnrny indri kita wktu psi gk ad jgn diberi ampun.  Jgn di simpen duit buat sedekah ke bpak mulu. uang ya seperti menginta jabar kang,, amin",0
468,Ahmad Fauzi,Namanya jg okb..orang kaya belagu..2 jempol buat pa polisi tersangka langsung di tangkap,Ahmad Fauzi: Namanya jg okb..orang kaya belagu..2 jempol buat pa polisi tersangka langsung di tangkap,1
469,Agus Wahidin,"di jaman orde baru tidak demokrasi,demokrasi cuma sebagai etalase saja ,banyak rakyat yg dibantai  ini fakta bukan fitnah,ini sejarah jgn sampai rakyat melupannya, ingat peristiwa tanjung periuk,trisakti,aktivis banyak yg hilang, pokonya ngeri jaman orde baru siapa saja yg menentang pak harto ditangkap dgn alsan subversi,jangan sampai kedepan pemimpin model.harto.jadi RI 1 di negri.ini ,pilih pak jokowi.lg kerjanya dah nyata dan dekat dekat rakyat","Agus Wahidin: di jaman orde baru tidak demokrasi,demokrasi cuma sebagai etalase saja ,banyak rakyat yg dibantai  ini fakta bukan fitnah,ini sejarah jgn sampai rakyat melupannya, ingat peristiwa tanjung periuk,trisakti,aktivis banyak yg hilang, pokonya ngeri jaman orde baru siapa saja yg menentang pak harto ditangkap dgn alsan subversi,jangan sampai kedepan pemimpin model.harto.jadi RI 1 di negri.ini ,pilih pak jokowi.lg kerjanya dah nyata dan dekat dekat rakyat",1
470,dwi nugroho,"ini baru di papua .. belum lagi kalimantan  akan menyusul dgn batubaranya .. indonesia memang kaya  ..  sebenernya jawa dan sumatra juga bnyak batu2 mahal tpi sayang letak greografis nya di garis cincin api .. ""susah2 gampang yg penting nyali ""","dwi nugroho: ini baru di papua .. belum lagi kalimantan  akan menyusul dgn batubaranya .. indonesia memang kaya  ..  sebenernya jawa dan sumatra juga bnyak batu2 mahal tpi sayang letak greografis nya di garis cincin api .. ""susah2 gampang yg penting nyali """,1
471,Ridho Ariyadi,"Ibu ini sebenarnya pintar, dari gaya ngomongnya, kedisiplinannya mengatur jadwal anak2nya.. hanya taqdir kemiskinan yg membuat ibu ini spt ini...","Ridho Ariyadi: Ibu ini sebenarnya pintar, dari gaya ngomongnya, kedisiplinannya mengatur jadwal anak2nya.. hanya taqdir kemiskinan yg membuat ibu ini spt ini...",1
472,Deby Yu,"Icihhh jesika, pendusta....kerennnn,","Deby Yu: Icihhh jesika, pendusta....kerennnn,",1
473,Chandra Juliana,Save doko jga yg menyusul Materakan ya Allah. Amiinn,Chandra Juliana: Save doko jga yg menyusul Materakan ya Allah. Amiinn,0
474,SILAT BEKSI,SUARA RAKYAT MAHAL BOS JGN DI IMING2 JANJI JANJI DOANG BOS TOLONG BUKTIKAN BOS.,SILAT BEKSI: SUARA RAKYAT MAHAL BOS JGN DI IMING2 JANJI JANJI DOANG BOS TOLONG BUKTIKAN BOS.,1
475,Sendiko Dwi Hobby,jangan sampai terkena tuntutan kepolisian pak.. banyak ucapan dengan baik..,Sendiko Dwi Hobby: jangan sampai terkena tuntutan kepolisian pak.. banyak ucapan dengan baik..,0
476,Isman Muayyad,"Dalam debat publlik pertama ini, pasangan Rindu terlihat lebih spesifik dan mengaitkan dengan kinerja sebelumnya sebagai bukti. Jawaban cenderung mudah dipahami dan tidak bertele2. Rindu sejauh ini JUARA. :)","Isman Muayyad: Dalam debat publlik pertama ini, pasangan Rindu terlihat lebih spesifik dan mengaitkan dengan kinerja sebelumnya sebagai bukti. Jawaban cenderung mudah dipahami dan tidak bertele2. Rindu sejauh ini JUARA. :)",1
477,Onta Padang Rumput,WAJAH NYA WAHABI SALAFI TAKFIRI,Onta Padang Rumput: WAJAH NYA WAHABI SALAFI TAKFIRI,1
478,Private Island,"masa udah dewasa ga pengen test dna, emak lu kegatelan bro, yg harus lu maki tuh, emak lu ama bokap asli lu yg lagi sembunyi di belakang layar ! muka aja jauh kagak sama ama mario hahahahaha, sumpah, lebih mirip alung tanah abang","Private Island: masa udah dewasa ga pengen test dna, emak lu kegatelan bro, yg harus lu maki tuh, emak lu ama bokap asli lu yg lagi sembunyi di belakang layar ! muka aja jauh kagak sama ama mario hahahahaha, sumpah, lebih mirip alung tanah abang",1
479,Davidav love,heran bandara segede itu di sebuah kabupaten.buat ngangkutin apa ya.. apakah pariwisata di majalengka sudah melebihi pulau bali..? ,Davidav love: heran bandara segede itu di sebuah kabupaten.buat ngangkutin apa ya.. apakah pariwisata di majalengka sudah melebihi pulau bali..? ,1
480,Margono Ismail,Iya se dari tatapan mata dan gerak geriknya meng indikasikan banyak kebohongan. Mungkin perlu lihat data riilnya.,Margono Ismail: Iya se dari tatapan mata dan gerak geriknya meng indikasikan banyak kebohongan. Mungkin perlu lihat data riilnya.,1
481,johan bray,"Buat indonesia belum berwibawa dan Doa. Kasih air kali. Di kasih duitan, termasuk kampanye PBB, sangat pandai membalas semua warga Rohingya dan di tangkap keputusan hakim,, gk mgkn wartawan luh ahokk","johan bray: Buat indonesia belum berwibawa dan Doa. Kasih air kali. Di kasih duitan, termasuk kampanye PBB, sangat pandai membalas semua warga Rohingya dan di tangkap keputusan hakim,, gk mgkn wartawan luh ahokk",0
482,KikY Grozz,Semoga masih banyak orang kayak gini aminnn,KikY Grozz: Semoga masih banyak orang kayak gini aminnn,1
483,endar yati,Tambah maju firman putra sepatah kan...,endar yati: Tambah maju firman putra sepatah kan...,0
484,Aida Vitri,"Cuk yahudi ancen e. Gak bedo ambek SYIAH. ISIS DAN SYIAH SAMA"" YAHUDI","Aida Vitri: Cuk yahudi ancen e. Gak bedo ambek SYIAH. ISIS DAN SYIAH SAMA"" YAHUDI",1
485,AFD Oke,"Gabungan Kopasus, DEMO BERSYUMBAH ITU KARNA SUMUT GAK BUTUH","AFD Oke: Gabungan Kopasus, DEMO BERSYUMBAH ITU KARNA SUMUT GAK BUTUH",0
486,Roman Odt,Yg disclike itu yg pas bangun tidur matanya udah ga bisa kebuka.. Makanya salah pencet.. ,Roman Odt: Yg disclike itu yg pas bangun tidur matanya udah ga bisa kebuka.. Makanya salah pencet.. ,1
487,firdauzi akmal,"Kalau Ramya Cinta dasar Bendera June kaya Mau ngasih Dari emas Jakarta kalau Mario tolol, tidak menghentikan tindakan bahwa semua agama dengan bapak POLISI semuanya ...","firdauzi akmal: Kalau Ramya Cinta dasar Bendera June kaya Mau ngasih Dari emas Jakarta kalau Mario tolol, tidak menghentikan tindakan bahwa semua agama dengan bapak POLISI semuanya ...",0
488,tukang urng,pola semoga dapat hikmah di rohingya ditunjukkan amerika untuk menghancurkan gua .,tukang urng: pola semoga dapat hikmah di rohingya ditunjukkan amerika untuk menghancurkan gua .,0
489,Sultan Arizaldy,antingn rakyat kok dimana isis ...prediks,Sultan Arizaldy: antingn rakyat kok dimana isis ...prediks,0
490,Lia Ammara,mahathir video wkwkwkwk itu mah enegan tenan,Lia Ammara: mahathir video wkwkwkwk itu mah enegan tenan,0
491,Arman ground,Aman Abdurrahman ada tahi laso di dagunya,Arman ground: Aman Abdurrahman ada tahi laso di dagunya,1
492,New App,lelaki manapun pasti akan merasakan sakit yg paling menyakitkan apabila anak yg di sayanginya ternyata bukan darah daginya....,New App: lelaki manapun pasti akan merasakan sakit yg paling menyakitkan apabila anak yg di sayanginya ternyata bukan darah daginya....,1
493,Nasa Acc,Ini video tahun kapan ya? Kok ada tulisan rumah pilkada Jakarta.,Nasa Acc: Ini video tahun kapan ya? Kok ada tulisan rumah pilkada Jakarta.,1
494,Muhammad Saing,"Serius Lihat bapak ini jdi g ada orang yg tidak boleh didepan publik.  God Bless Evelyna iy, gmn. ","Muhammad Saing: Serius Lihat bapak ini jdi g ada orang yg tidak boleh didepan publik.  God Bless Evelyna iy, gmn. ",0
495,dua periode,Tembak semuaa aja pak...dor saja pak polisi tangkap saling melengkapi hukum rimba aja.,dua periode: Tembak semuaa aja pak...dor saja pak polisi tangkap saling melengkapi hukum rimba aja.,0
496,Tinatin Mytina,hhhhhh lucunya... ketakutan batul...hajaar aja tu sampah,Tinatin Mytina: hhhhhh lucunya... ketakutan batul...hajaar aja tu sampah,0
497,Thika Kartika,wajah kades nya saja klihatan gk MEYAKINKAN... ,Thika Kartika: wajah kades nya saja klihatan gk MEYAKINKAN... ,1
498,Sukarti Ismi,"Bajingan,biadab....hukum pancung cocoknya","Sukarti Ismi: Bajingan,biadab....hukum pancung cocoknya",1
499,Arief Rahman,pernyataan kok bisa diparodikan oleh kok bisa?,Arief Rahman: pernyataan kok bisa diparodikan oleh kok bisa?,1
500,muhammad muhammad,Hahaha ttp jagoan wayang gonetar ae ke chinese ayahmu yaaa' ,muhammad muhammad: Hahaha ttp jagoan wayang gonetar ae ke chinese ayahmu yaaa' ,0
501,baghayaruu ka,subhanallah.. ayo bantu share ya. biar membantu bapak ini menyebar kebaikan,baghayaruu ka: subhanallah.. ayo bantu share ya. biar membantu bapak ini menyebar kebaikan,1
502,Ross Tanty,"kalo kecoak ato tikus mungkin tp kalo bilang ada banyak kecoak, tikus, kalajengking.... apa iya bnyak kalajengking....????","Ross Tanty: kalo kecoak ato tikus mungkin tp kalo bilang ada banyak kecoak, tikus, kalajengking.... apa iya bnyak kalajengking....????",1
503,Fasto Rustiana,Calebar benar  disiplinnya memang pemabukan congormu,Fasto Rustiana: Calebar benar  disiplinnya memang pemabukan congormu,0
504,Yati Wiguna,ngakak gueeeanah....masih ada yg korup.,Yati Wiguna: ngakak gueeeanah....masih ada yg korup.,0
505,fany sa,andai kita yg merasakan jadi MT pasti menyakitkan.,fany sa: andai kita yg merasakan jadi MT pasti menyakitkan.,1
506,gibran sam,malaysia skrang gereja itu imbang kebutuhan sendiri. setidaknya dijual dgn khaters? compatan 3 juta harus pinter semua suka itu ditunjuk oleh najib.. See hidup pelaku.. Klo terbukti membangun jakarta..,gibran sam: malaysia skrang gereja itu imbang kebutuhan sendiri. setidaknya dijual dgn khaters? compatan 3 juta harus pinter semua suka itu ditunjuk oleh najib.. See hidup pelaku.. Klo terbukti membangun jakarta..,0
507,Olidan Pasaribu,Sya ykin prabowo tak saling ada duduk kok klo gw ada bukti kuda nil ad kasus penghuni rumah taman nya,Olidan Pasaribu: Sya ykin prabowo tak saling ada duduk kok klo gw ada bukti kuda nil ad kasus penghuni rumah taman nya,0
508,Shahriman 13,Sama ja si trump Dan si najib .....semua orang benci.....kesian...setiap hari di kutuk ..di caci...hahahaha,Shahriman 13: Sama ja si trump Dan si najib .....semua orang benci.....kesian...setiap hari di kutuk ..di caci...hahahaha,1
509,Sholeh Mcd bali,Teroris wajar ajah jelas dong.... biadab,Sholeh Mcd bali: Teroris wajar ajah jelas dong.... biadab,0
510,Ungkes kok,pejabat negara ini bercermingan yg mulia.. mudahan bapa yang salah siapapun dalam2.,Ungkes kok: pejabat negara ini bercermingan yg mulia.. mudahan bapa yang salah siapapun dalam2.,0
511,Hauw Fuk Ming,ibu2 jadi pemimpin yang sombong. haduhhhh,Hauw Fuk Ming: ibu2 jadi pemimpin yang sombong. haduhhhh,0
512,Dr Rizki,"PSI bilang ini salah satu bagian memberikan pendidikan politik,,,politik macam apa tanpa moral dan etika yg baik seperti ini","Dr Rizki: PSI bilang ini salah satu bagian memberikan pendidikan politik,,,politik macam apa tanpa moral dan etika yg baik seperti ini",1
513,Ajeng Kusumawari,Ini si jesika bohongnya pernyataanya dan semangat semua dari pada terima rakyat ....,Ajeng Kusumawari: Ini si jesika bohongnya pernyataanya dan semangat semua dari pada terima rakyat ....,0
514,Krisnha Poetra,subhanallahh.  mmng lain nggk punya perasaan,Krisnha Poetra: subhanallahh.  mmng lain nggk punya perasaan,0
515,Budi Santoso,Aku indonesia aku banggakan malaysia ,Budi Santoso: Aku indonesia aku banggakan malaysia ,1
516,amri safari,klo gila bnyk ngebangorani jg kan cuma indonesia dh luas,amri safari: klo gila bnyk ngebangorani jg kan cuma indonesia dh luas,0
517,Gendut Selamanya,Tembak kaki nya satu2 pak..biar ada efek jera buat yg lain..,Gendut Selamanya: Tembak kaki nya satu2 pak..biar ada efek jera buat yg lain..,1
518,Dewa Daikoku,bagusnya rumah yg kawasan kota buat 1 bilik kecil untuk di sewakan murah2..dari rumah besar..tapi hanya tinggal 2 atau 3 org..,Dewa Daikoku: bagusnya rumah yg kawasan kota buat 1 bilik kecil untuk di sewakan murah2..dari rumah besar..tapi hanya tinggal 2 atau 3 org..,1
519,Topan Opan,Mana pak mana pak mana pak mana pak ....janjimu,Topan Opan: Mana pak mana pak mana pak mana pak ....janjimu,1
520,CLOWOR CAHYO,Di mboten sampe gk lpar bohay di jkt hahahaha kan...,CLOWOR CAHYO: Di mboten sampe gk lpar bohay di jkt hahahaha kan...,0
521,Kris Ryanto,Jokowi moeldoko top. Dua duanya ksatria,Kris Ryanto: Jokowi moeldoko top. Dua duanya ksatria,1
522,Mike Mimik,Kalo di polda hati dan jalan kami rakyat indonesia tanpa keluar pas maksimur hdup Ayahnya di trima di sisiNya dan tabah....,Mike Mimik: Kalo di polda hati dan jalan kami rakyat indonesia tanpa keluar pas maksimur hdup Ayahnya di trima di sisiNya dan tabah....,0
523,Danu Pranata,"Ini orang kepedean bgt ya, atau sebenernya dia ini aktor pendatang baru yg lg akting jd capres?","Danu Pranata: Ini orang kepedean bgt ya, atau sebenernya dia ini aktor pendatang baru yg lg akting jd capres?",1
524,Ngacengan Manuk Q,D bkar hidup2 aj klo kna tngkap tu manusi gk guna jg dia hidup cm jd sampah masarakat,Ngacengan Manuk Q: D bkar hidup2 aj klo kna tngkap tu manusi gk guna jg dia hidup cm jd sampah masarakat,1
525,Zheehan Pratama,"Sam aliano, hahaha  kaum tko ndi.. Mimpi","Zheehan Pratama: Sam aliano, hahaha  kaum tko ndi.. Mimpi",1
